"seondary"	"mass"	"charge"	"10 MeV"	"20 MeV"	"30 MeV"	"40 MeV"	"50 MeV"	"60 MeV"	"70 MeV"	"80 MeV"	"90 MeV"	"100 MeV"	"110 MeV"	"120 MeV"	"130 MeV"	"140 MeV"	"150 MeV"	"160 MeV"	"170 MeV"	"180 MeV"	"190 MeV"	"200 MeV"	"210 MeV"	"220 MeV"	"230 MeV"	"240 MeV"	"250 MeV"	"260 MeV"	"270 MeV"	"280 MeV"	"290 MeV"	"300 MeV"	"310 MeV"	"320 MeV"	"330 MeV"	"340 MeV"	"350 MeV"	"360 MeV"	"370 MeV"	"380 MeV"	"390 MeV"	"400 MeV"	"410 MeV"	"420 MeV"	"430 MeV"	"440 MeV"	"450 MeV"
"Ne20"	18617.73218	10	0.126382	0.0302312	0.00550327	0.00147207	1.66667e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ne21"	19550.53637	10	0.0863475	0.0205124	0.0018757	0.000327067	1e-07	3.33333e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ne22"	20479.73746	10	0.011408	0.0021978	0.000130667	2.15333e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ne23"	21414.10215	10	0.001505	4.62333e-05	2.6e-06	6e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ne24"	22344.79871	10	9.81667e-05	8.33333e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"neutron"	939.565378	0	1.01761	0.968543	0.885241	0.963328	1.98426	2.22102	2.4068	2.5581	2.682	2.78795	2.87873	2.95635	3.02461	3.08476	3.13695	3.18546	3.22754	3.26675	3.30334	3.3372	3.36887	3.39934	3.42609	3.4524	3.47613	3.50032	3.52236	3.54384	3.562	3.58077	3.59764	3.61449	3.63106	3.64612	3.6601	3.67447	3.68766	3.70107	3.714	3.72659	3.73994	3.75156	3.76416	3.77516	3.7875
"O13"	12128.44888	8	0	5.33333e-07	7e-07	9.66667e-07	0.000612433	0.00147373	0.00222017	0.00257263	0.00264007	0.00256753	0.002396	0.00222607	0.00204753	0.00190483	0.00176333	0.0016491	0.001538	0.00144553	0.00136563	0.0013019	0.00123817	0.00119093	0.00115247	0.0011115	0.00108913	0.00104647	0.00101723	0.00101903	0.0010003	0.000982767	0.000963833	0.000968367	0.000954833	0.000947167	0.000941867	0.0009464	0.000936433	0.000931967	0.0009356	0.000929033	0.000930467	0.0009385	0.000933467	0.000944333	0.0009443
"O14"	13044.83784	8	5.63333e-06	4.87667e-05	5.47e-05	6.24e-05	0.0127987	0.0226018	0.0275084	0.028436	0.0273128	0.0256401	0.0237849	0.022111	0.0206319	0.0192826	0.0182427	0.0172683	0.0164996	0.015786	0.0152829	0.0148233	0.0144416	0.0141734	0.0139024	0.0137471	0.0136237	0.0134981	0.013374	0.0133192	0.0132759	0.0131724	0.0131763	0.013139	0.0131249	0.0131407	0.0131282	0.0131386	0.0131274	0.0131495	0.0131475	0.0131275	0.0131369	0.0131302	0.01313	0.0131424	0.0131554
"O15"	13971.18011	8	0.0059374	0.0306935	0.0308398	0.0296935	0.133809	0.143187	0.139774	0.133036	0.127131	0.122487	0.118823	0.115985	0.113517	0.111764	0.110225	0.109074	0.108057	0.107227	0.106717	0.106276	0.105744	0.105321	0.105115	0.104936	0.104805	0.104634	0.104527	0.104459	0.104222	0.104189	0.104137	0.104035	0.103783	0.103637	0.103509	0.103389	0.103217	0.103068	0.102891	0.102578	0.102287	0.102088	0.10186	0.101656	0.101395
"O16"	14895.08153	8	0.0458763	0.0570822	0.0556951	0.0605143	0.122716	0.101364	0.0817799	0.0675456	0.0578987	0.0511247	0.04636	0.0426861	0.0395438	0.036861	0.0345536	0.0323677	0.0304105	0.0286596	0.0270474	0.0255753	0.024205	0.023002	0.0219213	0.0209038	0.0199997	0.0191701	0.0184274	0.0177413	0.0171565	0.0166027	0.016088	0.0156298	0.0152659	0.014887	0.0145693	0.0143362	0.0140807	0.0138526	0.0136964	0.0135143	0.0133888	0.0132444	0.013136	0.0130509	0.0129169
"O17"	15830.50375	8	0.0518708	0.0803301	0.0998326	0.0972196	0.0195829	0.00746713	0.0023961	0.000714333	0.000189467	4.52e-05	9e-06	1.2e-06	2.33333e-07	6.66667e-08	0	0	0	6.66667e-08	0	6.66667e-08	3.33333e-08	4e-07	2.66667e-07	3.66667e-07	6e-07	1.23333e-06	1.9e-06	2.16667e-06	3.5e-06	4.3e-06	4.1e-06	5.56667e-06	5.3e-06	6.43333e-06	5.76667e-06	6.13333e-06	5.73333e-06	6.66667e-06	6.3e-06	6.2e-06	6.73333e-06	6.13333e-06	5.66667e-06	6.16667e-06	5.86667e-06
"O18"	16762.02507	8	0.0025448	0.0131653	0.0169799	0.0133531	0.0019042	0.000209633	1.35333e-05	5.66667e-07	3.33333e-08	3.33333e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"O19"	17697.63549	8	5.17333e-05	0.000627533	0.000413367	0.000231233	1.84e-05	4.66667e-07	1e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"O20"	18629.59211	8	2.33333e-07	3.98667e-05	1.61667e-05	6.73333e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"O21"	19565.35158	8	0	3.03333e-06	3.33333e-07	1e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
