"seondary"	"mass"	"charge"	"10 MeV"	"20 MeV"	"30 MeV"	"40 MeV"	"50 MeV"	"60 MeV"	"70 MeV"	"80 MeV"	"90 MeV"	"100 MeV"	"110 MeV"	"120 MeV"	"130 MeV"	"140 MeV"	"150 MeV"	"160 MeV"	"170 MeV"	"180 MeV"	"190 MeV"	"200 MeV"	"210 MeV"	"220 MeV"	"230 MeV"	"240 MeV"	"250 MeV"	"260 MeV"	"270 MeV"	"280 MeV"	"290 MeV"	"300 MeV"	"310 MeV"	"320 MeV"	"330 MeV"	"340 MeV"	"350 MeV"	"360 MeV"	"370 MeV"	"380 MeV"	"390 MeV"	"400 MeV"	"410 MeV"	"420 MeV"	"430 MeV"	"440 MeV"	"450 MeV"
"H7"	6569.082212	1	0	0	0	0	1.62069e-06	1.66667e-06	1.9e-06	4.3e-06	8.63333e-06	1.49667e-05	2.12333e-05	2.65333e-05	3.07e-05	3.35667e-05	3.49e-05	3.78667e-05	3.79333e-05	3.60667e-05	3.56333e-05	3.79667e-05	3.53e-05	3.60333e-05	3.54667e-05	3.60667e-05	3.31e-05	3.36667e-05	3.39667e-05	3.32333e-05	3.18e-05	3.07e-05	3.00667e-05	3.00667e-05	2.93667e-05	2.89e-05	3.01e-05	2.82e-05	2.91333e-05	2.81e-05	2.89e-05	3.05667e-05	2.88333e-05	2.92e-05	2.79e-05	2.84333e-05	2.98667e-05
"He10"	9362.727561	2	0	0	0	0	5.06897e-06	3.22667e-05	7.26333e-05	0.000100433	0.000104133	9.57333e-05	8.40667e-05	7.15333e-05	5.91333e-05	5.02333e-05	4.4e-05	3.72667e-05	2.94e-05	2.51333e-05	2.18e-05	1.99333e-05	1.81e-05	1.53333e-05	1.43333e-05	1.21e-05	1.01667e-05	9.3e-06	9.5e-06	8.36667e-06	7.96667e-06	6.13333e-06	7.06667e-06	5.36667e-06	5.73333e-06	5.9e-06	4.7e-06	5.5e-06	4.66667e-06	4.46667e-06	4.2e-06	4.9e-06	5e-06	4.5e-06	4.3e-06	4.13333e-06	4.3e-06
"He3"	2808.391	2	0.0745906	0.280875	0.655551	0.774485	0.126818	0.126323	0.126807	0.128716	0.131809	0.135595	0.139476	0.142789	0.145997	0.148859	0.151179	0.153316	0.155338	0.157041	0.158629	0.160076	0.161552	0.162776	0.164267	0.165396	0.166684	0.167794	0.168706	0.169708	0.170613	0.171338	0.172178	0.172779	0.173464	0.174107	0.17471	0.175053	0.175636	0.176037	0.17675	0.176993	0.177372	0.177694	0.177999	0.178251	0.178531
"He6"	5605.537352	2	0.0006038	0.00470373	0.00507697	0.00574283	0.00934255	0.0100198	0.0107248	0.0116152	0.0126592	0.0136966	0.014585	0.0153912	0.0159408	0.0163647	0.0165753	0.0166799	0.016696	0.0166434	0.0165284	0.0164373	0.016282	0.0161547	0.0160362	0.0159109	0.0157373	0.0156267	0.0154702	0.015336	0.0152301	0.0150824	0.0149956	0.0148738	0.0147495	0.0147036	0.0146125	0.0144653	0.0144186	0.01431	0.0142357	0.0141749	0.0141436	0.0140498	0.0140165	0.0140116	0.0139435
"He8"	7482.528346	2	0	2.2e-06	1.66667e-06	6.33333e-07	1.66552e-05	2.91667e-05	6.41e-05	0.000128933	0.000194533	0.0002465	0.000281067	0.0002926	0.000302367	0.000297167	0.0002872	0.000275267	0.000267167	0.000258933	0.0002408	0.000235	0.000228767	0.000215233	0.000205367	0.000201667	0.0001938	0.0001897	0.000183633	0.000180433	0.000175	0.0001707	0.0001713	0.000162067	0.000160767	0.000157567	0.000157067	0.000158367	0.000154733	0.000151233	0.0001521	0.0001526	0.000149133	0.000148733	0.000147533	0.000152733	0.000150967
"Li11"	10285.69882	3	0	0	0	0	0.000257931	0.0004838	0.000523867	0.0004558	0.000358233	0.0002736	0.000213233	0.0001678	0.000133633	0.000109233	8.69e-05	7.13e-05	6.11e-05	5.21333e-05	4.61667e-05	4.15667e-05	3.53e-05	3.07e-05	2.7e-05	2.44333e-05	1.97e-05	1.99333e-05	1.77333e-05	1.58667e-05	1.56333e-05	1.39e-05	1.19667e-05	1.20333e-05	1.10667e-05	9.3e-06	9.86667e-06	9.3e-06	8.6e-06	8.33333e-06	8.66667e-06	8.43333e-06	7.76667e-06	7.73333e-06	8.26667e-06	8.2e-06	7.96667e-06
"Li3"	2821.616287	3	0	0	0	0	9.75862e-06	1.09333e-05	1.14667e-05	1.11e-05	1.46667e-05	1.96333e-05	2.70333e-05	3.57667e-05	4.57e-05	5.2e-05	5.93667e-05	6.78e-05	7.90667e-05	8.86667e-05	0.000102033	0.000107967	0.0001206	0.000127333	0.000138667	0.000152067	0.000162067	0.000171967	0.0001821	0.000188	0.000203567	0.0002081	0.0002171	0.000224633	0.000229167	0.000231933	0.000242233	0.000252367	0.000257733	0.000261733	0.000266033	0.000270267	0.000276267	0.000278733	0.0002816	0.000289333	0.000294133
"Li6"	5601.518164	3	0.0187828	0.0681144	0.0624855	0.0601273	0.0795136	0.0862532	0.0931044	0.0984812	0.101991	0.104172	0.105238	0.105643	0.105633	0.105365	0.104856	0.104338	0.103701	0.103142	0.102517	0.101901	0.101277	0.100582	0.100177	0.099575	0.0991566	0.0987589	0.0984457	0.0980081	0.097666	0.097339	0.0970143	0.0967533	0.0964297	0.0961779	0.0958943	0.0955959	0.0954298	0.0950715	0.094781	0.0944563	0.0942616	0.0940723	0.0937938	0.0933855	0.0931646
"Li7"	6533.83354	3	0.0126612	0.0490124	0.0462539	0.0482707	0.10764	0.108758	0.108228	0.10712	0.106119	0.105158	0.104366	0.103757	0.103174	0.102987	0.102992	0.103046	0.103117	0.1033	0.103628	0.103969	0.104326	0.104398	0.104584	0.104629	0.104688	0.104485	0.104453	0.104129	0.103815	0.103591	0.103289	0.102924	0.102598	0.102276	0.101817	0.10154	0.10124	0.100949	0.100612	0.100222	0.0999657	0.0995263	0.0993269	0.0990319	0.0987973
"Li8"	7471.366271	3	0.000452567	0.0056679	0.00751817	0.00948633	0.0119209	0.0117684	0.0128717	0.0143114	0.0154453	0.0161567	0.0165334	0.0165931	0.0164363	0.0162014	0.0159162	0.0155999	0.0153231	0.0151476	0.0149328	0.0148239	0.0146527	0.0144915	0.014337	0.0142196	0.0140479	0.0139938	0.0138308	0.0136912	0.0136228	0.0134748	0.0133761	0.0133112	0.0131877	0.0131155	0.0130508	0.0129544	0.0128875	0.0128097	0.0127413	0.0127188	0.0126715	0.0125861	0.0125356	0.0125063	0.0125244
