"seondary"	"mass"	"charge"	"10 MeV"	"20 MeV"	"30 MeV"	"40 MeV"	"50 MeV"	"60 MeV"	"70 MeV"	"80 MeV"	"90 MeV"	"100 MeV"	"110 MeV"	"120 MeV"	"130 MeV"	"140 MeV"	"150 MeV"	"160 MeV"	"170 MeV"	"180 MeV"	"190 MeV"	"200 MeV"	"210 MeV"	"220 MeV"	"230 MeV"	"240 MeV"	"250 MeV"	"260 MeV"	"270 MeV"	"280 MeV"	"290 MeV"	"300 MeV"	"310 MeV"	"320 MeV"	"330 MeV"	"340 MeV"	"350 MeV"	"360 MeV"	"370 MeV"	"380 MeV"	"390 MeV"	"400 MeV"	"410 MeV"	"420 MeV"	"430 MeV"	"440 MeV"	"450 MeV"
"C11"	10254.0197	6	0	0.10916	0.334452	0.226936	0.272586	0.258377	0.246846	0.239168	0.233537	0.229407	0.226102	0.223253	0.22035	0.217653	0.215117	0.212882	0.210467	0.208613	0.206501	0.204646	0.202819	0.201059	0.199514	0.19792	0.196398	0.19506	0.193683	0.192402	0.190946	0.189866	0.188537	0.187266	0.18599	0.184687	0.183543	0.182206	0.180934	0.179586	0.178223	0.176979	0.17555	0.174387	0.172935	0.17179	0.170487
"C12"	11174.86339	6	1	0.187471	0.0852333	0.0488231	0.0563605	0.0454348	0.0397742	0.0356297	0.0331419	0.0313081	0.0295124	0.0278412	0.0271751	0.0260552	0.0248683	0.023681	0.0229091	0.0216415	0.0213016	0.0205924	0.0199164	0.0191752	0.0184063	0.0179046	0.0174327	0.0167254	0.0160773	0.0158774	0.0158564	0.0154034	0.0153187	0.0149264	0.0150144	0.0150023	0.0148048	0.014737	0.0148556	0.0149424	0.0148772	0.014674	0.0150235	0.0148642	0.0151549	0.0150474	0.0151325
"C13"	12109.48243	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.33333e-08	1e-07	2e-07	1.33333e-07	3.33333e-07	6.33333e-07	7.33333e-07	1.56667e-06	2.53333e-06	3.43333e-06	6.33333e-06	8.83333e-06	1.06667e-05	1.21e-05	1.32e-05	1.31e-05	1.51e-05	1.63e-05	1.62e-05	1.62667e-05	1.73667e-05	1.73e-05	1.8e-05	1.66333e-05	2.05333e-05	1.80333e-05	1.98667e-05	1.86667e-05	1.82333e-05
"C9"	8409.291795	6	0	0	0	0	0	0	6e-07	3.63333e-06	1.01e-05	2.38e-05	3.78333e-05	5.04667e-05	6.17333e-05	7.24e-05	7.96e-05	8.41667e-05	9.21e-05	9.12667e-05	9.70667e-05	9.68333e-05	9.69667e-05	9.80667e-05	0.0001018	0.0001031	0.000100967	0.000101167	0.000103433	0.0001036	0.000101633	0.0001027	0.000103967	0.000104767	0.000104467	0.0001097	0.000108033	0.0001091	0.000108467	0.0001116	0.000117867	0.000121067	0.000126733	0.000127567	0.000130033	0.000134833	0.0001403
"deuteron"	1875.613	1	0	0.10916	0.275808	0.282263	0.108921	0.112071	0.118362	0.121361	0.122215	0.123917	0.12627	0.12831	0.129816	0.131164	0.132062	0.132699	0.132929	0.133094	0.132913	0.132773	0.132636	0.132541	0.132323	0.132287	0.13219	0.132052	0.13195	0.131798	0.131751	0.131486	0.13135	0.13118	0.131047	0.130773	0.130513	0.130327	0.129892	0.129476	0.129165	0.128668	0.128307	0.127893	0.12736	0.126931	0.126387
"gamma"	0	0	0.767487	0.152164	0.557558	0.511915	0.500325	0.498012	0.491342	0.485245	0.479628	0.476279	0.475271	0.475118	0.47539	0.476134	0.477341	0.478954	0.479664	0.481043	0.481647	0.482102	0.482427	0.482999	0.483234	0.483264	0.483382	0.483664	0.48382	0.483755	0.48336	0.483593	0.483684	0.483724	0.483917	0.484096	0.484485	0.484653	0.485094	0.485613	0.485817	0.486541	0.486812	0.487684	0.488163	0.489043	0.489767
"H7"	6569.082212	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.33333e-08	0	0	0	3.33333e-08	3.33333e-08	3.33333e-08	3.33333e-08	3.33333e-08	6.66667e-08	6.66667e-08	6.66667e-08	1e-07	1.33333e-07	6.66667e-08	2e-07	2.33333e-07	1.33333e-07	1.33333e-07	2e-07	2.66667e-07	3e-07	5.33333e-07
"He3"	2808.391	2	0	0	0.0986589	0.0970443	0.0740136	0.0716925	0.0705542	0.0686515	0.0700809	0.0721357	0.0741275	0.0756322	0.0763902	0.0767304	0.0767799	0.0765445	0.0762528	0.0757328	0.075076	0.0745591	0.07396	0.0734416	0.0729678	0.0724226	0.0719254	0.071528	0.0710811	0.0705485	0.0701003	0.0697032	0.0692475	0.068946	0.0684142	0.0679305	0.0675502	0.0670872	0.0665832	0.0660216	0.0655382	0.065178	0.0646292	0.0640643	0.0636375	0.0631361	0.0626623
"He6"	5605.537352	2	0	0	0	0	0.000123333	0.000728767	0.00124727	0.0015271	0.00175813	0.00197547	0.00211713	0.00227747	0.00240207	0.00251807	0.00262743	0.00275027	0.0028201	0.0028915	0.0029815	0.00306477	0.0031283	0.0032069	0.00326613	0.00334287	0.00341047	0.00346423	0.0035266	0.00356853	0.00360273	0.00365003	0.00370367	0.00373933	0.00377577	0.00383307	0.0038938	0.0039522	0.00400067	0.00404983	0.0040965	0.00413837	0.00423223	0.00427363	0.00434933	0.00441817	0.00447577
"He8"	7482.528346	2	0	0	0	0	0	0	0	0	0	0	0	3.33333e-08	6.66667e-08	1e-07	3e-07	6.33333e-07	7.33333e-07	1.13333e-06	1e-06	1e-06	1.3e-06	1.63333e-06	1.63333e-06	1.63333e-06	2.03333e-06	2.3e-06	2.03333e-06	2.8e-06	2.6e-06	3.13333e-06	2.76667e-06	3.6e-06	3.83333e-06	3.66667e-06	4.06667e-06	4.33333e-06	5.13333e-06	5.46667e-06	6.43333e-06	7.7e-06	8.4e-06	1.10333e-05	1.24e-05	1.47333e-05	1.65333e-05
